# iTOW 1687000
D 0000.420  6.4  45.8
D 0000.422  6.4  45.6
D 0000.423  6.7  45.2
D 0000.419  6.6  45.5
D 0000.419  5.6  45.6
D 0000.420  6.3  45.3
D 0000.423  6.0  45.6
D 0000.422  6.5  45.3
D 0000.421  6.6  45.4
D 0000.419  3.0  45.8
D 0000.422  6.3  46.0
D 0000.422  6.4  45.9
D 0000.427  6.5  45.6
D 0000.423  6.5  45.7
D 0000.420  6.5  46.1
D 0000.420  6.9  45.8
D 0000.418  6.4  45.9
D 0000.422  6.8  45.9
D 0000.420  6.5  45.2
D 0000.422  6.5  45.5
D 0000.423  6.9  45.2
D 0000.423  6.5  46.0
D 0000.419  6.5  45.5
D 0000.420  6.8  46.7
D 0000.414  6.9  46.3
D 0000.419  6.9  47.0
D 0000.419  6.3  46.7
D 0000.419  5.9  46.4
# end 
# iTOW 1689200
D 0000.417  6.6  46.2
D 0000.420  7.0  46.8
D 0000.418  7.6  46.5
D 0000.416  6.7  46.5
D 0000.419  6.5  46.4
D 0000.419  6.7  46.4
D 0000.423  6.6  46.2
D 0000.419  6.6  46.1
D 0000.419  6.4  46.7
D 0000.417  6.5  46.3
D 0000.419  3.7  46.5
D 0000.423  7.0  46.1
D 0000.418  6.5  46.4
D 0000.422  6.5  46.5
D 0000.420  7.1  45.8
# end 
# iTOW 1691600
D 0000.418  6.2  46.7
D 0000.416  7.1  46.1
D 0000.418  5.7  45.9
D 0000.419  7.6  46.4
D 0000.420  6.2  46.4
D 0000.420  4.3  46.4
D 0000.419  6.4  46.2
D 0000.419  7.0  46.2
D 0000.418  6.8  46.2
D 0000.422  5.9  46.7
D 0000.419  7.7  46.5
D 0000.420  6.4  46.4
D 0000.418  6.3  46.4
D 0000.418  7.0  45.9
# end 
# iTOW 1694600
D 0000.424  7.0  46.3
D 0000.417  6.3  46.4
D 0000.417  6.8  46.7
D 0000.416  6.6  46.4
D 0000.424  6.2  46.2
D 0000.418  6.7  46.1
D 0000.418  6.0  46.5
D 0000.417  6.6  46.7
D 0000.417  3.5  46.5
D 0000.418  6.2  46.3
D 0000.419  6.7  46.6
D 0000.419  6.1  46.2
D 0000.418  3.5  46.4
D 0000.418  6.6  46.7
D 0000.420  3.5  46.9
D 0000.420  6.5  46.7
# end 
# iTOW 1698200
D 0000.418  6.2  46.5
D 0000.422  6.5  46.4
D 0000.419  6.4  46.1
D 0000.419  6.7  46.7
D 0000.416  6.6  46.5
D 0000.417  6.2  46.7
D 0000.417  6.5  45.9
D 0000.417  6.9  47.3
D 0000.423  6.6  46.4
D 0000.418  8.3  46.5
D 0000.417  6.6  45.9
D 0000.416  7.0  46.7
D 0000.418  8.1  46.3
D 0000.420  6.3  46.1
D 0000.417  6.6  47.2
D 0000.417  6.6  46.5
D 0000.417  6.6  46.9
D 0000.422  6.4  46.4
D 0000.416  6.4  46.5
D 0000.418  6.3  46.4
D 0000.419  6.3  46.5
# end 
# iTOW 1702400
D 0000.418  6.7  46.4
D 0000.417  6.4  46.9
D 0000.419  5.8  46.2
D 0000.420  6.6  46.7
D 0000.419  6.7  46.4
D 0000.416  8.6  46.4
D 0000.419  6.6  46.2
D 0000.416  7.4  46.4
D 0000.418  7.4  46.3
D 0000.419  6.7  46.7
D 0000.417  6.7  47.0
D 0000.415  6.5  46.7
D 0000.418  7.0  46.2
D 0000.419  6.4  46.4
D 0000.418  6.2  46.0
D 0000.417  6.8  46.5
D 0000.418  7.0  47.3
D 0000.419  6.0  46.6
D 0000.424  6.2  46.5
D 0000.417  3.6  46.7
D 0000.419  6.7  46.5
D 0000.419  6.5  46.2
D 0000.421  6.7  46.1
D 0000.418  6.7  46.3
# end 
# iTOW 1707200
D 0000.419  8.1  46.2
D 0000.423  6.9  46.5
D 0000.417  6.0  46.4
D 0000.420  6.7  46.2
D 0000.419  6.4  46.5
D 0000.418  6.6  46.7
D 0000.417  6.5  46.7
D 0000.417  6.9  46.5
D 0000.418  7.2  46.6
D 0000.420  5.9  46.3
D 0000.417  6.7  46.4
D 0000.417  6.2  47.2
D 0000.416  6.2  46.4
D 0000.418  6.6  46.2
# end 
# iTOW 1709800
D 0000.418  6.3  46.3
D 0000.419  6.6  46.6
D 0000.413  6.2  46.9
D 0000.418  6.3  47.3
D 0000.420  6.0  46.9
D 0000.418  8.4  47.1
D 0000.418  6.4  46.9
D 0000.418  6.1  46.4
D 0000.419  6.5  46.4
D 0000.422  6.0  46.5
D 0000.420  6.3  46.7
D 0000.417  3.3  46.4
D 0000.421  6.4  47.1
D 0000.419  6.9  46.9
D 0000.421  5.8  46.3
# end 
# iTOW 1712200
D 0000.419  6.8  46.9
D 0000.420  6.9  46.5
D 0000.417  6.2  46.9
D 0000.418  6.8  46.5
D 0000.421  6.4  46.7
D 0000.419  7.4  46.5
D 0000.418  7.1  46.4
